ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving Day,Thanksgiving Day_lower,Thanksgiving Day_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.4271884736359,-1296.726412279738,4090.987043517521,1451.4271884736359,1451.4271884736359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.36826682211996,96.36826682211996,96.36826682211996,0.0,0.0,0.0,419.70289074170364,419.70289074170364,419.70289074170364,-323.33462391958363,-323.33462391958363,-323.33462391958363,0.0,0.0,0.0,1547.7954552957558
2014-01-04,1451.5456468016123,-1708.5917476808065,3604.5146807421324,1451.5456468016123,1451.5456468016123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398.89546687420585,-398.89546687420585,-398.89546687420585,0.0,0.0,0.0,21.523679136787027,21.523679136787027,21.523679136787027,-420.4191460109929,-420.4191460109929,-420.4191460109929,0.0,0.0,0.0,1052.6501799274065
2014-01-05,1451.664105129589,-1542.7037740874664,3748.3899783998377,1451.664105129589,1451.664105129589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-307.3032078310944,-307.3032078310944,-307.3032078310944,0.0,0.0,0.0,203.64623648081735,203.64623648081735,203.64623648081735,-510.94944431191175,-510.94944431191175,-510.94944431191175,0.0,0.0,0.0,1144.3608972984946
2014-01-06,1451.7825634575654,-1483.788539863493,3960.808073761475,1451.7825634575654,1451.7825634575654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182.12869659664548,-182.12869659664548,-182.12869659664548,0.0,0.0,0.0,411.5942273727035,411.5942273727035,411.5942273727035,-593.7229239693489,-593.7229239693489,-593.7229239693489,0.0,0.0,0.0,1269.6538668609198
2014-01-07,1451.901021785542,-2271.808258562792,3108.0978127530284,1451.901021785542,1451.901021785542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-839.7152033989895,-839.7152033989895,-839.7152033989895,0.0,0.0,0.0,-172.03123052352117,-172.03123052352117,-172.03123052352117,-667.6839728754683,-667.6839728754683,-667.6839728754683,0.0,0.0,0.0,612.1858183865526
2014-01-09,1452.1379384414952,-1921.0296994522314,3658.9701708379084,1452.1379384414952,1452.1379384414952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-629.8687056695966,-629.8687056695966,-629.8687056695966,0.0,0.0,0.0,155.96262964481923,155.96262964481923,155.96262964481923,-785.8313353144158,-785.8313353144158,-785.8313353144158,0.0,0.0,0.0,822.2692327718986
2014-01-10,1452.2563967694718,-1675.4703514507098,3553.9189704176815,1452.2563967694718,1452.2563967694718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-409.1501007443662,-409.1501007443662,-409.1501007443662,0.0,0.0,0.0,419.7028907422179,419.7028907422179,419.7028907422179,-828.8529914865842,-828.8529914865842,-828.8529914865842,0.0,0.0,0.0,1043.1062960251056
2014-01-11,1452.3748550974485,-2060.244477465566,3392.4071155902766,1452.3748550974485,1452.3748550974485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-839.2398159568816,-839.2398159568816,-839.2398159568816,0.0,0.0,0.0,21.523679137383525,21.523679137383525,21.523679137383525,-860.7634950942651,-860.7634950942651,-860.7634950942651,0.0,0.0,0.0,613.135039140567
2014-01-13,1452.6117717534016,-1533.2403704196772,3692.3915576790732,1452.6117717534016,1452.6117717534016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-479.81962191235823,-479.81962191235823,-479.81962191235823,0.0,0.0,0.0,411.59422737235053,411.59422737235053,411.59422737235053,-891.4138492847088,-891.4138492847088,-891.4138492847088,0.0,0.0,0.0,972.7921498410434
2014-01-14,1452.730230081378,-2501.856024840976,3134.658330648023,1452.730230081378,1452.730230081378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1062.8515285722576,-1062.8515285722576,-1062.8515285722576,0.0,0.0,0.0,-172.031230524684,-172.031230524684,-172.031230524684,-890.8202980475737,-890.8202980475737,-890.8202980475737,0.0,0.0,0.0,389.87870150912045
